*Generic
Reference Type	Author	Year	Title	Secondary Title	Place Published	Pages	Number	Publisher	Volume	Secondary Author	Custom 1
Journal	Fortes BdPMD, Valencia LIO, Ribeiro SdV, Medronho RdA	2004	Geostatistical modeling of <i>Ascaris lumbricoides</i> infection	Cadernos de Saude Publica		727-734	3		20		BRA0031
Journal	Giraldi N, Vidotto O, Navarro IT, Garcia JL	2001	Enteroparasites prevalence among daycare and elementary school children of municipal schools, Rolndia, PR, Brazil	Revista da Sociedade Brasileira de Medicina Tropical		385-387			34		BRA0032
Journal	Heukelbach J, Winter B, Wilcke T, Muehlen M, Albrecht S, Oliveira FASd, Kerr-Pontes LRS, Liesenfeld O, Feldmeier H	2004	Selective mass treatment with ivermectin to control intestinal helminthiases and parasitic skin diseases in a severely affected population	Bulletin of the World Health Organization		563-571	8		82		BRA0033
Journal	Hurtado-Guerrero AF, Alencar FH, Hurtado-Guerrero JC	2005	Occurrence of enteroparasites in the elderly population of Nova Olinda do Norte, Amazonas, Brazil	Acta Amazonica		487-490	4		35		BRA0034
Journal	Jardim-Botelho A, Raff S, Rodrigues Rde A, Hoffman HJ, Diemert DJ, Correa-Oliveira R, Bethony JM, Gazzinelli MF	2008	Hookworm, Ascaris lumbricoides infection and polyparasitism associated with poor cognitive performance in Brazilian schoolchildren	Trop Med Int Health		994-1004	8		13		BRA0035
Journal	Kanamura HY, Dias LCdS, Silva RMd, Glasser CM, Patucci RMdJ, Vellosa SAG, Antunes JLF	1998	A comparative epidemiologic study of specific antibodies (IgM and IgA) and parasitological findings in an endemic area of low transmission of <i>Schistosoma mansoni</i>	Revista do Instituto de Medicina Tropical de Sao Paulo		85-91	2		40		BRA0036
Journal	Kobayashi J, Hasegawa H, Forli AA, Nishimura NF, Yamanaka A, Shimabukuro T, Sato Y	1995	Prevalence of intestinal parasitic infection in five farms in Holambra, So Paulo, Brazil	Revista do Instituto de Medicina Tropical de Sao Paulo		13-18			37		BRA0037
Journal	Korkes F, Kumagai FU, Belfort RN, Szejnfeld D, Abud TG, Kleinman A, Florez GM, Szejnfeld T, Chieffi PP	2008	Relationship between Intestinal Parasitic Infection in Children and Soil Contamination in an Urban Slum	J Trop Pediatr		42-45	1		55		BRA0038
Journal	Lanelli RV, Silva JP, Agostini SM	1995	Parasitoses intestinais nos ndios Xavnte de Parabubure, Mato Grosso, Brasil	Cadernos de Saude Publica		630-630			11		BRA0039
Journal	Lopes FMR, Goncalves DD, Reis CRd, Bregano RM, Anaruma Filho F, Murad VA, Menezes MCNDd, Freire RL, Freitas JCd, Santana MAZ, Navarro IT	2006	Occurrence of enteroparasitosis in schoolchildren of the municipal district of Jataizinho, State of Parana, Brazil	Acta Scientiarum - Health Science		107-111	2		28		BRA0040
Journal	Luchetti RMGS, Moitinho MdLR, Vargas L	1996	Prevalence of intestinal protozoa and helminths in school children from Mambore, Parana, Brazil	Revista UNIMAR		433-446	2		18		BRA0041
Journal	Machado MT, Machado TMS, Yoshikae RM, Schmidt ALA, Faria RdCA, Paschoalotti MA, Barata RdCB, Chieffi PP	1996	Ascariasis in the subdistrict of Cavacos, municipality of Alterosa (MG), Brazil: effect of mass treatment with albendazole on the intensity of infection	Revista do Instituto de Medicina Tropical de Sao Paulo		265-272			38		BRA0042
Journal	Machado RC, Marcari EL, Cristante SdFV, Carareto CMA	1999	Giardase e helmintases em crianas de creches e escolas de 1¡ e 2¡ graus (pblicas e privadas) da cidade de Mirassol (SP, Brasil)	Revista da Sociedade Brasileira de Medicina Tropical		697-704			32		BRA0043
Journal	Malta	2002	Investigacao epidemiologica sobre enteroparasitos em criancas em idade pre-escolar no municipio de Lins	Revista de Patologia Tropical							BRA0044
Journal	Marinho HA, Shrimpton R, Giugliano R, Burini RC	1991	Influence of enteral parasites on the blood vitamin A levels in preschool children orally supplemented with retinol and/or zinc	European Journal of Clinical Nutrition		539-544	11		45		BRA0045
Journal	Mendes CR, Teixeira ATLS, Pereira RAT, Dias LCdS	2005	A comparative study of the parasitological techniques: Kato-Katz and coprotestReg	Revista da Sociedade Brasileira de Medicina Tropical		178-180	2		38		BRA0046
Journal	Menezes AL, Lima VMP, Freitas MTS, Rocha MO, Silva EF, Dolabella SS	2008	Prevalence of intestinal parasites in children from public daycare centers in the city of Belo Horizonte, Minas Gerais, Brazil	Revista do Instituto de Medicina Tropical de Sao Paulo		57-59			50		BRA0047
Journal	Miranda RdA, Xavier FB, Menezes RCd	1998	Parasitismo intestinal em uma aldeia indgena Parakan, sudeste do Estado do Par, Brasil	Cadernos de Saude Publica		507-511			14		BRA0048
Journal	Miranda RdA, Xavier FB, Nascimento JRL, Menezes RCd	1999	Prevalence of intestinal parasitism in villages of the Tembe tribe in eastern Amazonia, Brazil	Revista da Sociedade Brasileira de Medicina Tropical		389-393	4		32		BRA0049
Journal	Morrone FB, Carneiro JA, Reis Cd, Cardozo CM, Ubal C, Carli GAd	2004	Study of enteroparasites infection frequency and chemotherapeutic agents used in pediatric patients in a community living in Porto Alegre, RS, Brazil	Revista do Instituto de Medicina Tropical de Sao Paulo		77-80	2		46		BRA0051
Journal	de Moura EC,  LMB, Maria F. L. Coelho3, Simone M. F. Aun4	1997	Prevalncia de parasitose intestinal em escolares da primeira srie de uma escola pblica	Jornal de Pediatria		406-410:	6		73		BRA0052
Journal	Muniz PT, Castro TGd, Araujo TSd, Nunes NB, Silva-Nunes Md, Hoffmann EHE, Ferreira MU, Cardoso MA	2007	Child health and nutrition in the Western Brazilian Amazon: population-based surveys in two counties in Acre State	Cadernos de Saude Publica		1283-1293	6		23		BRA0053
Journal	Nascimento SA, Moitinho MdLR	2005	Blastocystis hominis and other intestinal parasites in a community of Pitanga City, Paran State, Brazil	Revista do Instituto de Medicina Tropical de So Paulo		213-217			47		BRA0054
Journal	Prado MdS, Barreto ML, Strina A, Faria JAS, Nobre AA, Jesus SR	2001	Prevalence and intensity of infection by intestinal parasites in school-aged children in Salvador (Bahia State, Brazil)	Revista da Sociedade Brasileira de Medicina Tropical		99-101	1		34		BRA0055
Journal	Rocha RS, Silva JG, Peixoto SV, Caldeira RL, Firmo JOA, Carvalho OdS, Katz N	2000	Avaliao da esquistossomose e de outras parasitoses intestinais, em escolares do municpio de Bambu, Minas Gerais, Brasil	Revista da Sociedade Brasileira de Medicina Tropical		431-436			33		BRA0056
Journal	Rodrigues L	2007	An analysis of the risk factors for Trichuris Trichiura infection in children aged less than 15 years old in the city of Salvador, Brazil.		London						BRA0057
Journal	Rubinsky-Elefant G, da Silva-Nunes M, Malafronte RS, Muniz PT, Ferreira MU	2008	Human Toxocariasis in Rural Brazilian Amazonia: Seroprevalence, Risk Factors, and Spatial Distribution	Am J Trop Med Hyg		93-98	1		79		BRA0058
Journal	Saldiva SR, Silveira AS, Philippi ST, Torres DM, Mangini AC, Dias RMdS, Silva RMd, Buratini MN, Massad E	1999	Ascaris-Trichuris association and malnutrition in Brazilian children	Paediatric and Perinatal Epidemiology		89-98	1		13		BRA0059
Journal	Santos FLN, Cerqueira EJL, Soares NM	2005	Comparison of the thick smear and Kato-Katz techniques for diagnosis of intestinal helminth infections	Revista da Sociedade Brasileira de Medicina Tropical		196-198			38		BRA0060
Journal	Santos RV, Coimbra Jr. CEA, Flowers NM, Silva JP	1995	Intestinal parasitism in the Xavnte Indians, Central Brazil	Revista do Instituto de Medicina Tropical de Sao Paulo		145-148			37		BRA0061
Journal	Santos-Junior GO, Silva MM, Santos FLN	2006	Intestinal parasitoses in children from a rural area of Bahia, Brazil, by the method of spontaneous sedimentation	Revista de Patologia Tropical		233-240	3		35		BRA0062
Journal	Seva-Pereira A, Garlipp CR, Polis IR	1992	Prevalencia de enteropar asitoses em estudantes de medicina da Unicamp	Rev Bras Med 		539-544	8		49		BRA0063
Journal	Souza EAd, Silva-Nunes Md, Malafronte RdS, Muniz PT, Cardoso MA, Ferreira MU	2007	Prevalence and spatial distribution of intestinal parasitic infections in a rural Amazonian settlement, Acre State, Brazil	Cadernos de Saude Publica		427-434			23		BRA0064
Journal	Tsuyuoka R, Bailey JW, Guimares AMdAN, Gurgel RQ, Cuevas LE	1999	Anemia and intestinal parasitic infections in primary school students in Aracaju, Sergipe, Brazil	Cadernos de Saude Publica		413-421			15		BRA0065
Journal	Uchoa CMA, Lobo AGB, Bastos OMP, Matos AD	2001	Intestinal parasitism: prevalence in day-care centers of Niteroi city, Rio de Janeiro - Brazil	Revista do Instituto Adolfo Lutz		97-101	2		60		BRA0066
Journal	Valencia LIO, Fortes BdPMD, Medronho RdA	2005	Spatial Ascariasis risk estimation using socioeconomic variables	International Journal of Environmental Health Research		411-424	6		15		BRA0067
Journal	Zani LC, Favre TC, Pieri OS, Barbosa CS	2004	Impact of antihelminthic treatment on infection by <i>Ascaris lumbricoides</i>, <i>Trichuris trichiura</i> and hookworms in Covas, a rural community of Pernambuco, Brazil	Revista do Instituto de Medicina Tropical de Sao Paulo		63-71	2		46		BRA0068
Journal	Pinheiro Ide O, de Castro MF, Mitterofhe A, Pires FA, Abramo C, Ribeiro LC, Tibirica SH, Coimbra ES	2011	Prevalence and risk factors for giardiasis and soil-transmitted helminthiasis in three municipalities of Southeastern Minas Gerais State, Brazil: risk factors for giardiasis and soil-transmitted helminthiasis	Parasitol Res		1123-1130	5		108		BRA0078
Journal	Goncalves ALR, Belizario TL, de Brito Pimentel J, Penatti MPA, dos Santos Pedroso R	2011	Prevalence of intestinal parasites in preschool children in the region of Uberlandia, State of Minas Gerais, Brazil	Rev Soc Bras Med Trop 		191-193	2		44		BRA0082
Journal	de Moraes Neto AH, Pereira AP, Alencar Mde F, Souza PR, Jr., Dias RC, Fonseca JG, Santos CP, Almeida JC	2010	Prevalence of intestinal parasites versus knowledge, attitudes, and practices of inhabitants of low-income communities of Campos dos Goytacazes, Rio de Janeiro State, Brazil	Parasitol Res		295-307	2		107		BRA0083
Journal	Bragagnoli, G. Silva, M. T.	2014	Ascaris lumbricoides infection and parasite load are associated with asthma in children	J Infect Dev Ctries	""	891-97	7	""	8	""	BRA0150
Journal	Alves de Oliveira Serra, M. A. Chaves Cde, S. Branco Coelho, Z. C. de Castro Rodrigues, N. L. Martins Vale, J. Teixeira, M. J. de Oliveira, F. J. de Araujo, M. F. Coelho, I. C.	2015	Comparison between Two Decades of Prevalence of Intestinal Parasitic Diseases and Risk Factors in a Brazilian Urban Centre	Interdiscip Perspect Infect Dis	""	546705	""	""	volume 2015	""	BRA0151
Journal	Carvalho do Espirito-Santo, M. C. Pinto, P. L. Gargioni, C. Alvarado-Mora, M. V. Pagliusi Castilho, V. L. Pinho, J. R. de Albuquerque Luna, E. J. Borges Gryschek, R. C.	2014	Detection of Schistosoma mansoni antibodies in a low-endemicity area using indirect immunofluorescence and circumoval precipitin test	Am J Trop Med	""	1146-52	6	""	90	""	BRA0152
Journal	Friis H, Byskov J	1987	Schistosoma mansoni: intensity of infection and morbidity among schoolchildren in Matlapaneng, Ngamiland, Botswana.	Trop Geogr Med		251-255	3		39		BWA0001
Journal	Meunier DMY, Georges MC, Georges AJ	1984	Intestinal parasitoses of adults in an urban environment in the Central African Republic	Bulletin de la Societe de Pathologie Exotique		333-343	3		77		CAF0001
Journal	Pene P, Rossignol JF, Chaudet H	1983	Cosmopolitan intestinal nematodes of 1264 cases	Mediterranee Medicale		13-21	2		295		CAF0002
Journal	Biolley MA, Gamboa C, Cabezas P, Cardenas P, Pinela C	1991	Intestinal parasites in pre-school and school children from Temuco, Chile: with special reference to <i>Entamoeba histolytica</i>	Parasitologia al Dia		23-27			15		CHL0001
Journal	Biolley MA, Gamboa C, Astete S, Ulloa R	1990	Intestinal infection with parasites and/or commensals in schoolchildren of the IX Region, Chile	Boletin Chileno de Parasitologia		86-90	3-4		45		CHL0002
Journal	Mejias G	1993	Intestinal parasitic infections in rural school children from the Chiloe Archipelago, X Region, Chile	Boletin Chileno de Parasitologia		28-29	1-2		48		CHL0003
Journal	Mercado R, Otto JP, Musleh M, Perez M	1997	Human infection by intestinal protozoa and helminths in Calbuco County, X Region, Chile, 1997	Boletin Chileno de Parasitologia		36-38	1-2		52		CHL0004
Journal	Otto JP, Musleh M, Perez M, Mercado R	1998	Enteroparasitosis en 40 grupos familiares de la localidad de Chauquear, Isla de Puluqui, X region de Chile , 1997	Parasitol da 			1-2		22		CHL0005
Journal	Paredes A, Ibar M, Echeverria X, Toledo MI, Corquera W	1996	Intestinal protozoal and helminth infections in a rural school with environmental health problems in the municipality of Vilcun, IX Region, Chile	Parasitologia al Dia		70-73	1-2		20		CHL0006
Journal	Rio Sd, Vargas M, Campos G, Vargas A, Saez G, Valdivia H, Reyes H, Munoz V	1993	Cryptosporidiosis and other intestinal parasitoses in schoolchildren from Chiloe Island, X Region, Chile	Parasitologia al Dia		137-138	3-4		17		CHL0007
Journal	Lin DD, Xu JM, Zhang YY, Liu YM, Hu F, Xu XL, Li JY, Gao ZL, Wu HW, Kurtis J, Wu GL	2008	Evaluation of IgG-ELISA for the diagnosis of Schistosoma japonicum in a high prevalence, low intensity endemic area of China	Acta Trop		128-133	2		107		CHN0001
Journal	Xu LQ, Yu SH, Jiang ZX, Yang JL, Lai LQ, Zhang XJ, Zheng CQ	1995	Soil-transmitted helminthiases: nationwide survey in China	Bulletin of the World Health Organization		507-513	4		73		CHN0002
Journal	Ye XP, Wu ZX, Sun FH	1994	The population biology and control of Necator americanus in a village community in south-eastern China	Annals of Tropical Medicine & Parasitology		635-643	6		88		CHN0003
Journal	Gandhi NS, Jizhang C, Khoshnood K, Fuying X, Shanwen L, Yaoruo L, Bin Z, Haechou X, Chongjin T, Yan W, et al	2001	Epidemiology of Necator americanus hookworm infections in Xiulongkan Village, Hainan Province, China: high prevalence and intensity among middle-aged and elderly residents	Journal of Parasitology		739-743	4		87		CHN0004
Journal	Tang N, Luo NJ	2003	A cross-sectional study of intestinal parasitic infections in a rural district of west China	Can J Infect Dis		159-162	3		14		CHN0006
Journal	Steinmann P, Zhou X-N, Li Y-L, Li H-J, Chen S-R, Yang Z, Fan W, Jia T-W, Li L-H, Vounatsou P, Utzinger J	2007	Helminth infections and risk factor analysis among residents in Eryuan country, Yunnan province, China	Acta Trop		38-51			104		CHN0007
Journal	Steinmann P, Du Z-W, Wang SQ, Jiang J-Y, Li L-H, Marti H, Zhou X-N, Utzinger J	2008	Extensive multiparasitism in a village of Yunnan Province, People's Republic of China, revealed by a suite of diagnostic methods	Am J Trop Med Hyg		760-769	5		78		CHN0008
Journal	Zeigelbauer K, Steinmann P, Zhou H, Jiang J-Y, Furst T, Jia T-W, Zhou X-N, Utzinger J	2010	Self-related quality of life and school performance in relation to helminth infections: case study from Yunnan, People's Republic of China	Parasit Vectors		61			3		CHN0009
Journal	Hu, Y. Li, R. Ward, M. P. Chen, Y. Lynn, H. Wang, D. Chen, G. He, Z. Sun, L. Xiong, C. Zhang, Z. Jiang, Q.	2015	Human infections and co-infections with helminths in a rural population in Guichi, Anhui Province, China	Geospat Health	""	374	2	""	10	""	CHN0022
Journal	Adoubryn KD, Ouhon J, Yapo CG, Assoumou EY, Ago KM, Assoumou A	2006	Epidemiological profile of the schistosomiasis in school children in the Agneby Region (south-east of Cote-d'Ivoire)	Bull Soc Pathol Exot		28-31	1		99		CIV0001
Abstract	OCCGE	1969	Rapport final de la neuviem conference technique de IÕOCCGE, 21-25 April 1969. Bobo-Dioulasso, Burkina Faso.								CIV0001LF
Journal	Agbaya SS, Yavo W, Menan EI, Attey MA, Kouadio LP, Kone M	2004	Intestinal helminthiasis among school children: preliminary results of a prospective study in Agboville in Southern Cote d'Ivoire	Sante		143-147	3		14		CIV0002
Book	Brengues J, BouchitŽ B, Nelson G, Ouedraogo C, Gbaguidi P, Dyemkouma A and Ochoumare J	1975	La filariose de Bancroft en Afrique de l'Ouest		Paris			ORSTOM			CIV0002LF
Journal	Haller L	1980	Health of school children on the Ivory Coast. Parasitic diseases	Acta Trop		41-55	4 Suppl 11		37		CIV0003
Journal	Keiser J, N'Goran EK, Singer BH, Lengeler C, Tanner M, Utzinger J	2002	Association between Schistosoma mansoni and hookworm infections among schoolchildren in Cote d'Ivoire	Acta Trop		31-41	1		84		CIV0004
Journal	Keiser J, N'Goran EK, Traore M, Lohourignon KL, Singer BH, Lengeler C, Tanner M, Utzinger J	2002	Polyparasitism with Schistosoma mansoni, geohelminths, and intestinal protozoa in rural Cote d'Ivoire	J Parasitol		461-466	3		88		CIV0005
Journal	Menan EI, Nebavi NG, Adjetey TA, Assavo NN, Kiki-Barro PC, Kone M	1997	Profile of intestinal helminthiases in school aged children in the city of Abidjan	Bull Soc Pathol Exot		51-54	1		90		CIV0006
